Gene constructs possessing the complete tat, rev ( tat + rev +) and env genes were transiently expressed in COS - 1 cells as precursor SU - TM ( gp160), SU. TM ( gp120 x 41), and nucleolar rev protein.	"complete tat	31	43	Gene/Protein"	"rev	45	48	Gene/Protein"	"tat +	51	56	Gene/Protein"	"rev +	57	62	Gene/Protein"	"env genes	68	77	Gene/Protein"	"precursor SU - TM	125	142	Gene/Protein"	"gp160	145	150	Gene/Protein"	"gp120 x 41	162	172	Gene/Protein"	"nucleolar rev protein	179	200	Gene/Protein"	"[{""token"": ""complete tat"", ""start_span"": 31, ""end_span"": 43, ""type"": ""Gene/Protein""}, {""token"": ""rev"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene/Protein""}, {""token"": ""tat +"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""rev +"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Gene/Protein""}, {""token"": ""env genes"", ""start_span"": 68, ""end_span"": 77, ""type"": ""Gene/Protein""}, {""token"": ""precursor SU - TM"", ""start_span"": 125, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""gp160"", ""start_span"": 145, ""end_span"": 150, ""type"": ""Gene/Protein""}, {""token"": ""gp120 x 41"", ""start_span"": 162, ""end_span"": 172, ""type"": ""Gene/Protein""}, {""token"": ""nucleolar rev protein"", ""start_span"": 179, ""end_span"": 200, ""type"": ""Gene/Protein""}]"
Fas has been shown to require ICE ( interleukin - 1 beta - converting enzyme) family proteases to induce apoptosis from studies utilizing the cowpox ICE inhibitor protein CrmA, the synthetic tetrapeptide ICE inhibitor YVAD - CMK, and the tripeptide pan - ICE inhibitor Z - VAD - FMK.	"Fas	0	3	Gene/Protein"	"ICE	30	33	Gene/Protein"	"interleukin - 1 beta - converting enzyme	36	76	Gene/Protein"	"ICE inhibitor protein	149	170	Gene/Protein"	"CrmA	171	175	Gene/Protein"	"ICE	204	207	Gene/Protein"	"YVAD - CMK	218	228	Gene/Protein"	"ICE	255	258	Gene/Protein"	"Z - VAD - FMK	269	282	Gene/Protein"	"[{""token"": ""Fas"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene/Protein""}, {""token"": ""ICE"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 1 beta - converting enzyme"", ""start_span"": 36, ""end_span"": 76, ""type"": ""Gene/Protein""}, {""token"": ""ICE inhibitor protein"", ""start_span"": 149, ""end_span"": 170, ""type"": ""Gene/Protein""}, {""token"": ""CrmA"", ""start_span"": 171, ""end_span"": 175, ""type"": ""Gene/Protein""}, {""token"": ""ICE"", ""start_span"": 204, ""end_span"": 207, ""type"": ""Gene/Protein""}, {""token"": ""YVAD - CMK"", ""start_span"": 218, ""end_span"": 228, ""type"": ""Gene/Protein""}, {""token"": ""ICE"", ""start_span"": 255, ""end_span"": 258, ""type"": ""Gene/Protein""}, {""token"": ""Z - VAD - FMK"", ""start_span"": 269, ""end_span"": 282, ""type"": ""Gene/Protein""}]"
Accumulated evidence indicates that, upon stimulation with interferon - gamma ( IFN - gamma), three beta - type subunits, designated LMP2, LMP7, and PSMB10, are incorporated into the 20S proteasome by displacing the housekeeping beta - type subunits designated PSMB6, PSMB5, and PSMB7, respectively.	"interferon - gamma	59	77	Gene/Protein"	"IFN - gamma	80	91	Gene/Protein"	"LMP2	133	137	Gene/Protein"	"LMP7	139	143	Gene/Protein"	"PSMB10	149	155	Gene/Protein"	"20S proteasome	183	197	Gene/Protein"	"PSMB6	261	266	Gene/Protein"	"PSMB5	268	273	Gene/Protein"	"PSMB7	279	284	Gene/Protein"	"[{""token"": ""interferon - gamma"", ""start_span"": 59, ""end_span"": 77, ""type"": ""Gene/Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 80, ""end_span"": 91, ""type"": ""Gene/Protein""}, {""token"": ""LMP2"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""LMP7"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Gene/Protein""}, {""token"": ""PSMB10"", ""start_span"": 149, ""end_span"": 155, ""type"": ""Gene/Protein""}, {""token"": ""20S proteasome"", ""start_span"": 183, ""end_span"": 197, ""type"": ""Gene/Protein""}, {""token"": ""PSMB6"", ""start_span"": 261, ""end_span"": 266, ""type"": ""Gene/Protein""}, {""token"": ""PSMB5"", ""start_span"": 268, ""end_span"": 273, ""type"": ""Gene/Protein""}, {""token"": ""PSMB7"", ""start_span"": 279, ""end_span"": 284, ""type"": ""Gene/Protein""}]"
Furthermore, we showed that the IL - 6 / interferon gamma ( IFN gamma) response element in the IRF - 1 promoter ( IR / IRF - 1), which contains a Stat - binding site and an adjacent CRE - like site, also makes IL - 6 - induced binding complexes similar to JRE - IL6 - BCs.	"IL - 6	32	38	Gene/Protein"	"interferon gamma	41	57	Gene/Protein"	"IFN gamma	60	69	Gene/Protein"	"IRF - 1 promoter	95	111	Gene/Protein"	"IR	114	116	Gene/Protein"	"IRF - 1	119	126	Gene/Protein"	"Stat - binding site	146	165	Gene/Protein"	"IL - 6	210	216	Gene/Protein"	"IL6	262	265	Gene/Protein"	"[{""token"": ""IL - 6"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Gene/Protein""}, {""token"": ""interferon gamma"", ""start_span"": 41, ""end_span"": 57, ""type"": ""Gene/Protein""}, {""token"": ""IFN gamma"", ""start_span"": 60, ""end_span"": 69, ""type"": ""Gene/Protein""}, {""token"": ""IRF - 1 promoter"", ""start_span"": 95, ""end_span"": 111, ""type"": ""Gene/Protein""}, {""token"": ""IR"", ""start_span"": 114, ""end_span"": 116, ""type"": ""Gene/Protein""}, {""token"": ""IRF - 1"", ""start_span"": 119, ""end_span"": 126, ""type"": ""Gene/Protein""}, {""token"": ""Stat - binding site"", ""start_span"": 146, ""end_span"": 165, ""type"": ""Gene/Protein""}, {""token"": ""IL - 6"", ""start_span"": 210, ""end_span"": 216, ""type"": ""Gene/Protein""}, {""token"": ""IL6"", ""start_span"": 262, ""end_span"": 265, ""type"": ""Gene/Protein""}]"
Much evidence indicates that p38 is an activator of MyoD: ( i) p38 kinase activity is required for the expression of MyoD - responsive genes, ( ii) enforced induction of p38 stimulates the transcriptional activity of a Gal4 - MyoD fusion protein and allows efficient activation of chromatin - integrated reporters by MyoD, and ( iii) MyoD - dependent myogenic conversion is reduced in mouse embryonic fibroblasts derived from p38alpha ( - / -) embryos.	"p38	29	32	Gene/Protein"	"MyoD	52	56	Gene/Protein"	"p38 kinase	63	73	Gene/Protein"	"MyoD	117	121	Gene/Protein"	"p38	170	173	Gene/Protein"	"Gal4	219	223	Gene/Protein"	"MyoD	226	230	Gene/Protein"	"MyoD	317	321	Gene/Protein"	"MyoD	334	338	Gene/Protein"	"[{""token"": ""p38"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Gene/Protein""}, {""token"": ""MyoD"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""p38 kinase"", ""start_span"": 63, ""end_span"": 73, ""type"": ""Gene/Protein""}, {""token"": ""MyoD"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Gene/Protein""}, {""token"": ""p38"", ""start_span"": 170, ""end_span"": 173, ""type"": ""Gene/Protein""}, {""token"": ""Gal4"", ""start_span"": 219, ""end_span"": 223, ""type"": ""Gene/Protein""}, {""token"": ""MyoD"", ""start_span"": 226, ""end_span"": 230, ""type"": ""Gene/Protein""}, {""token"": ""MyoD"", ""start_span"": 317, ""end_span"": 321, ""type"": ""Gene/Protein""}, {""token"": ""MyoD"", ""start_span"": 334, ""end_span"": 338, ""type"": ""Gene/Protein""}]"
Members of the MAPK family include the extracellular response kinases ( ERKs or p42 / 44 ( MAPK)), the c - Jun amino - terminal kinases ( JNKs), and the p38 / Hog 1 protein kinases.	"MAPK family	15	26	Gene/Protein"	"extracellular response kinases	39	69	Gene/Protein"	"ERKs	72	76	Gene/Protein"	"p42 / 44	80	88	Gene/Protein"	"MAPK	91	95	Gene/Protein"	"c - Jun amino - terminal kinases	103	135	Gene/Protein"	"JNKs	138	142	Gene/Protein"	"p38	153	156	Gene/Protein"	"Hog 1	159	164	Gene/Protein"	"[{""token"": ""MAPK family"", ""start_span"": 15, ""end_span"": 26, ""type"": ""Gene/Protein""}, {""token"": ""extracellular response kinases"", ""start_span"": 39, ""end_span"": 69, ""type"": ""Gene/Protein""}, {""token"": ""ERKs"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Gene/Protein""}, {""token"": ""p42 / 44"", ""start_span"": 80, ""end_span"": 88, ""type"": ""Gene/Protein""}, {""token"": ""MAPK"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Gene/Protein""}, {""token"": ""c - Jun amino - terminal kinases"", ""start_span"": 103, ""end_span"": 135, ""type"": ""Gene/Protein""}, {""token"": ""JNKs"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""p38"", ""start_span"": 153, ""end_span"": 156, ""type"": ""Gene/Protein""}, {""token"": ""Hog 1"", ""start_span"": 159, ""end_span"": 164, ""type"": ""Gene/Protein""}]"
FZD4 is homologous to FZD9 and FZD10, and overall amino acid identity is as follows: FZD4 vs FZD9, 51. 6%; FZD4 vs FZD10, 51. 2%; FZD9 vs FZD10, 65. 7%.	"FZD4	0	4	Gene/Protein"	"FZD9	22	26	Gene/Protein"	"FZD10	31	36	Gene/Protein"	"FZD4	85	89	Gene/Protein"	"FZD9	93	97	Gene/Protein"	"FZD4	107	111	Gene/Protein"	"FZD10	115	120	Gene/Protein"	"FZD9	130	134	Gene/Protein"	"FZD10	138	143	Gene/Protein"	"[{""token"": ""FZD4"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene/Protein""}, {""token"": ""FZD9"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Gene/Protein""}, {""token"": ""FZD10"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Gene/Protein""}, {""token"": ""FZD4"", ""start_span"": 85, ""end_span"": 89, ""type"": ""Gene/Protein""}, {""token"": ""FZD9"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene/Protein""}, {""token"": ""FZD4"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Gene/Protein""}, {""token"": ""FZD10"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Gene/Protein""}, {""token"": ""FZD9"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""FZD10"", ""start_span"": 138, ""end_span"": 143, ""type"": ""Gene/Protein""}]"
Studying intracellular signaling pathways, which may be involved in malignant transformation of Ret - 9bp expressing NIH3T3 cells, we could demonstrate Ret - 9bp dependent phosphorylation of insulin receptor substrate - 2 ( IRS - 2) with consecutive activation of phosphatidylinositol 3 - kinase ( PI 3 - kinase) and protein kinase B ( PKB / AKT).	"Ret - 9bp	96	105	Gene/Protein"	"Ret - 9bp	152	161	Gene/Protein"	"insulin receptor substrate - 2	191	221	Gene/Protein"	"IRS - 2	224	231	Gene/Protein"	"phosphatidylinositol 3 - kinase	264	295	Gene/Protein"	"PI 3 - kinase	298	311	Gene/Protein"	"protein kinase B	317	333	Gene/Protein"	"PKB	336	339	Gene/Protein"	"AKT	342	345	Gene/Protein"	"[{""token"": ""Ret - 9bp"", ""start_span"": 96, ""end_span"": 105, ""type"": ""Gene/Protein""}, {""token"": ""Ret - 9bp"", ""start_span"": 152, ""end_span"": 161, ""type"": ""Gene/Protein""}, {""token"": ""insulin receptor substrate - 2"", ""start_span"": 191, ""end_span"": 221, ""type"": ""Gene/Protein""}, {""token"": ""IRS - 2"", ""start_span"": 224, ""end_span"": 231, ""type"": ""Gene/Protein""}, {""token"": ""phosphatidylinositol 3 - kinase"", ""start_span"": 264, ""end_span"": 295, ""type"": ""Gene/Protein""}, {""token"": ""PI 3 - kinase"", ""start_span"": 298, ""end_span"": 311, ""type"": ""Gene/Protein""}, {""token"": ""protein kinase B"", ""start_span"": 317, ""end_span"": 333, ""type"": ""Gene/Protein""}, {""token"": ""PKB"", ""start_span"": 336, ""end_span"": 339, ""type"": ""Gene/Protein""}, {""token"": ""AKT"", ""start_span"": 342, ""end_span"": 345, ""type"": ""Gene/Protein""}]"
Hierarchy of protein tyrosine kinases in interleukin - 2 ( IL - 2) signaling: activation of syk depends on Jak3; however, neither Syk nor Lck is required for IL - 2 - mediated STAT activation.	"protein tyrosine kinases	13	37	Gene/Protein"	"interleukin - 2	41	56	Gene/Protein"	"IL - 2	59	65	Gene/Protein"	"syk	92	95	Gene/Protein"	"Jak3	107	111	Gene/Protein"	"Syk	130	133	Gene/Protein"	"Lck	138	141	Gene/Protein"	"IL - 2	158	164	Gene/Protein"	"STAT	176	180	Gene/Protein"	"[{""token"": ""protein tyrosine kinases"", ""start_span"": 13, ""end_span"": 37, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 2"", ""start_span"": 41, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 59, ""end_span"": 65, ""type"": ""Gene/Protein""}, {""token"": ""syk"", ""start_span"": 92, ""end_span"": 95, ""type"": ""Gene/Protein""}, {""token"": ""Jak3"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Gene/Protein""}, {""token"": ""Syk"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Gene/Protein""}, {""token"": ""Lck"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 158, ""end_span"": 164, ""type"": ""Gene/Protein""}, {""token"": ""STAT"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Gene/Protein""}]"
Rev - erbAalpha / beta), Mxi - 1 and Mad bHLH - zip proteins and the oncoproteins PLZF and LAZ3 / BCL6 is mediated by the corepressors N - CoR and SMRT.	"Rev	0	3	Gene/Protein"	"erbAalpha / beta	6	22	Gene/Protein"	"Mxi - 1	25	32	Gene/Protein"	"Mad	37	40	Gene/Protein"	"PLZF	82	86	Gene/Protein"	"LAZ3	91	95	Gene/Protein"	"BCL6	98	102	Gene/Protein"	"N - CoR	135	142	Gene/Protein"	"SMRT	147	151	Gene/Protein"	"[{""token"": ""Rev"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene/Protein""}, {""token"": ""erbAalpha / beta"", ""start_span"": 6, ""end_span"": 22, ""type"": ""Gene/Protein""}, {""token"": ""Mxi - 1"", ""start_span"": 25, ""end_span"": 32, ""type"": ""Gene/Protein""}, {""token"": ""Mad"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Gene/Protein""}, {""token"": ""PLZF"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Gene/Protein""}, {""token"": ""LAZ3"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Gene/Protein""}, {""token"": ""BCL6"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Gene/Protein""}, {""token"": ""N - CoR"", ""start_span"": 135, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""SMRT"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Gene/Protein""}]"
